name,email,phone,companyIndustry,companySize,location,revenue
Entreprise 1,contact@entreprise1.com,0139340781,HEALTHCARE,MEDIUM,Paris,4613298
Entreprise 2,contact@entreprise2.com,0192139889,EDUCATION,SMALL,Paris,899504
Entreprise 3,contact@entreprise3.com,0173450751,EDUCATION,SMALL,Paris,1280312
Entreprise 4,contact@entreprise4.com,0162716561,OTHER,MEDIUM,Paris,3493267
Entreprise 5,contact@entreprise5.com,0131196027,TECHNOLOGY,SMALL,Paris,1814452
Entreprise 6,contact@entreprise6.com,0169613229,FINANCE,MEDIUM,Paris,624750
Entreprise 7,contact@entreprise7.com,0165190516,OTHER,MEDIUM,Paris,4600614
Entreprise 8,contact@entreprise8.com,0196247658,OTHER,LARGE,Paris,3261898
Entreprise 9,contact@entreprise9.com,0144752084,EDUCATION,MEDIUM,Paris,1091663
Entreprise 10,contact@entreprise10.com,0114462043,HEALTHCARE,MEDIUM,Paris,1820730
Entreprise 11,contact@entreprise11.com,0166484139,HEALTHCARE,SMALL,Paris,376353
Entreprise 12,contact@entreprise12.com,0141112949,OTHER,SMALL,Paris,4491019
Entreprise 13,contact@entreprise13.com,0165272487,HEALTHCARE,SMALL,Paris,2448090
Entreprise 14,contact@entreprise14.com,0155146455,TECHNOLOGY,SMALL,Paris,4346082
Entreprise 15,contact@entreprise15.com,0153977303,FINANCE,SMALL,Paris,1231514
Entreprise 16,contact@entreprise16.com,0194960536,TECHNOLOGY,MEDIUM,Paris,4837835
Entreprise 17,contact@entreprise17.com,0130277078,FINANCE,SMALL,Paris,4041058
Entreprise 18,contact@entreprise18.com,0173856855,OTHER,LARGE,Paris,1378114
Entreprise 19,contact@entreprise19.com,0114864432,EDUCATION,LARGE,Paris,3395165
Entreprise 20,contact@entreprise20.com,0151865355,EDUCATION,MEDIUM,Paris,3029288
Entreprise 21,contact@entreprise21.com,0126954252,HEALTHCARE,LARGE,Paris,2934484
Entreprise 22,contact@entreprise22.com,0146234736,EDUCATION,LARGE,Paris,3480971
Entreprise 23,contact@entreprise23.com,0194894627,OTHER,LARGE,Paris,479560
Entreprise 24,contact@entreprise24.com,0137488905,FINANCE,SMALL,Paris,613746
Entreprise 25,contact@entreprise25.com,0143086346,OTHER,MEDIUM,Paris,2842592
Entreprise 26,contact@entreprise26.com,0199323259,HEALTHCARE,MEDIUM,Paris,212694
Entreprise 27,contact@entreprise27.com,0138506487,HEALTHCARE,LARGE,Paris,4862682
Entreprise 28,contact@entreprise28.com,0191951763,OTHER,LARGE,Paris,2120158
Entreprise 29,contact@entreprise29.com,0153300131,EDUCATION,SMALL,Paris,4981511
Entreprise 30,contact@entreprise30.com,0199559131,OTHER,LARGE,Paris,3021561
Entreprise 31,contact@entreprise31.com,0128235191,HEALTHCARE,MEDIUM,Paris,4263205
Entreprise 32,contact@entreprise32.com,0155685991,HEALTHCARE,MEDIUM,Paris,1458188
Entreprise 33,contact@entreprise33.com,0163240467,EDUCATION,SMALL,Paris,757243
Entreprise 34,contact@entreprise34.com,0119631202,OTHER,LARGE,Paris,747457
Entreprise 35,contact@entreprise35.com,0172841723,FINANCE,MEDIUM,Paris,4420468
Entreprise 36,contact@entreprise36.com,0148051083,HEALTHCARE,SMALL,Paris,1573095
Entreprise 37,contact@entreprise37.com,0162920966,TECHNOLOGY,MEDIUM,Paris,641228
Entreprise 38,contact@entreprise38.com,0186876931,EDUCATION,SMALL,Paris,4303622
Entreprise 39,contact@entreprise39.com,0123138709,HEALTHCARE,MEDIUM,Paris,1356923
Entreprise 40,contact@entreprise40.com,0178987446,OTHER,LARGE,Paris,4734117
Entreprise 41,contact@entreprise41.com,0183251544,FINANCE,LARGE,Paris,3241516
Entreprise 42,contact@entreprise42.com,0173412226,TECHNOLOGY,SMALL,Paris,665660
Entreprise 43,contact@entreprise43.com,0189646908,OTHER,LARGE,Paris,1747236
Entreprise 44,contact@entreprise44.com,0150329457,OTHER,LARGE,Paris,1120079
Entreprise 45,contact@entreprise45.com,0126967384,FINANCE,LARGE,Paris,1144993
Entreprise 46,contact@entreprise46.com,0153545061,HEALTHCARE,MEDIUM,Paris,2443261
Entreprise 47,contact@entreprise47.com,0118430953,TECHNOLOGY,SMALL,Paris,2481812
Entreprise 48,contact@entreprise48.com,0131500268,FINANCE,LARGE,Paris,2205042
Entreprise 49,contact@entreprise49.com,0136119851,TECHNOLOGY,LARGE,Paris,944086
Entreprise 50,contact@entreprise50.com,0133530747,EDUCATION,LARGE,Paris,2747668
Entreprise 51,contact@entreprise51.com,0117188035,OTHER,MEDIUM,Paris,2371598
Entreprise 52,contact@entreprise52.com,0147666846,OTHER,SMALL,Paris,3286918
Entreprise 53,contact@entreprise53.com,0154101095,TECHNOLOGY,MEDIUM,Paris,2511246
Entreprise 54,contact@entreprise54.com,0111566548,FINANCE,LARGE,Paris,4437680
Entreprise 55,contact@entreprise55.com,0154265570,OTHER,MEDIUM,Paris,1305487
Entreprise 56,contact@entreprise56.com,0185203142,EDUCATION,LARGE,Paris,2531087
Entreprise 57,contact@entreprise57.com,0183558248,TECHNOLOGY,SMALL,Paris,1250981
Entreprise 58,contact@entreprise58.com,0138668334,EDUCATION,LARGE,Paris,3522222
Entreprise 59,contact@entreprise59.com,0190635878,EDUCATION,LARGE,Paris,1810562
Entreprise 60,contact@entreprise60.com,0170345294,FINANCE,LARGE,Paris,2737257
Entreprise 61,contact@entreprise61.com,0146730324,TECHNOLOGY,LARGE,Paris,1250100
Entreprise 62,contact@entreprise62.com,0151889439,OTHER,LARGE,Paris,3753572
Entreprise 63,contact@entreprise63.com,0113773968,FINANCE,MEDIUM,Paris,443822
Entreprise 64,contact@entreprise64.com,0147173926,FINANCE,SMALL,Paris,2360825
Entreprise 65,contact@entreprise65.com,0138010814,TECHNOLOGY,MEDIUM,Paris,4430333
Entreprise 66,contact@entreprise66.com,0181568972,HEALTHCARE,SMALL,Paris,3772233
Entreprise 67,contact@entreprise67.com,0172718065,TECHNOLOGY,MEDIUM,Paris,2191091
Entreprise 68,contact@entreprise68.com,0140362280,FINANCE,LARGE,Paris,3032609
Entreprise 69,contact@entreprise69.com,0179143330,OTHER,SMALL,Paris,4693934
Entreprise 70,contact@entreprise70.com,0137690863,FINANCE,SMALL,Paris,2095991
Entreprise 71,contact@entreprise71.com,0160897530,TECHNOLOGY,MEDIUM,Paris,1961272
Entreprise 72,contact@entreprise72.com,0147618053,HEALTHCARE,MEDIUM,Paris,1446726
Entreprise 73,contact@entreprise73.com,0117092728,EDUCATION,MEDIUM,Paris,3050956
Entreprise 74,contact@entreprise74.com,0187221664,TECHNOLOGY,MEDIUM,Paris,4186009
Entreprise 75,contact@entreprise75.com,0162790692,EDUCATION,LARGE,Paris,3224182
Entreprise 76,contact@entreprise76.com,0177789106,EDUCATION,SMALL,Paris,3903041
Entreprise 77,contact@entreprise77.com,0183776189,FINANCE,MEDIUM,Paris,412913
Entreprise 78,contact@entreprise78.com,0138961407,EDUCATION,MEDIUM,Paris,2203383
Entreprise 79,contact@entreprise79.com,0126035867,TECHNOLOGY,MEDIUM,Paris,923973
Entreprise 80,contact@entreprise80.com,0168541080,TECHNOLOGY,SMALL,Paris,3357133
Entreprise 81,contact@entreprise81.com,0160482450,TECHNOLOGY,SMALL,Paris,4657264
Entreprise 82,contact@entreprise82.com,0184153041,TECHNOLOGY,MEDIUM,Paris,1584388
Entreprise 83,contact@entreprise83.com,0127007393,OTHER,LARGE,Paris,2388242
Entreprise 84,contact@entreprise84.com,0160669032,FINANCE,SMALL,Paris,1415909
Entreprise 85,contact@entreprise85.com,0190767821,EDUCATION,MEDIUM,Paris,4605007
Entreprise 86,contact@entreprise86.com,0123760544,FINANCE,MEDIUM,Paris,3783013
Entreprise 87,contact@entreprise87.com,0116610914,EDUCATION,SMALL,Paris,332842
Entreprise 88,contact@entreprise88.com,0155990880,FINANCE,LARGE,Paris,3714314
Entreprise 89,contact@entreprise89.com,0183853998,FINANCE,LARGE,Paris,1058864
Entreprise 90,contact@entreprise90.com,0147136095,OTHER,MEDIUM,Paris,4318140
Entreprise 91,contact@entreprise91.com,0153118686,TECHNOLOGY,SMALL,Paris,1071013
Entreprise 92,contact@entreprise92.com,0166673933,EDUCATION,MEDIUM,Paris,652329
Entreprise 93,contact@entreprise93.com,0174235410,EDUCATION,LARGE,Paris,473754
Entreprise 94,contact@entreprise94.com,0174412349,HEALTHCARE,MEDIUM,Paris,4177710
Entreprise 95,contact@entreprise95.com,0157184060,EDUCATION,LARGE,Paris,2020055
Entreprise 96,contact@entreprise96.com,0145260039,FINANCE,LARGE,Paris,3805747
Entreprise 97,contact@entreprise97.com,0145617526,HEALTHCARE,MEDIUM,Paris,4878642
Entreprise 98,contact@entreprise98.com,0147546837,OTHER,MEDIUM,Paris,3571910
Entreprise 99,contact@entreprise99.com,0190675528,OTHER,LARGE,Paris,3113817
Entreprise 100,contact@entreprise100.com,0131109387,OTHER,LARGE,Paris,909926
Entreprise 101,contact@entreprise101.com,0115983685,EDUCATION,SMALL,Paris,2559700
Entreprise 102,contact@entreprise102.com,0155177789,FINANCE,SMALL,Paris,304193
